,0
elo_diff,0.066823855
home_elo,0.029955253
away_efg_for_r5,0.027641736
away_elo,0.027446661
home_margin_r10,0.025370816
away_ft_rate_r3,0.024139326
away_orb_pct_r3,0.023761546
away_pts_for_r10,0.023003565
away_efg_against_r3,0.021973705
home_tov_pct_r3,0.021615703
away_efg_against_r5,0.021332698
away_efg_for_r3,0.021310937
home_home_away_split,0.02090656
home_win_streak,0.020807073
away_home_away_split,0.020542733
home_ft_rate_r3,0.020312656
away_margin_r3,0.019734766
home_orb_pct_r3,0.019676803
away_pts_against_r10,0.019582847
home_margin_r3,0.019526945
away_rest_days,0.01924142
away_pts_against_r5,0.019048385
home_tov_pct_r5,0.01904242
home_pts_against_r3,0.01867706
home_margin_r5,0.018671239
home_pts_for_r10,0.01846199
home_efg_against_r5,0.018202206
home_games_played,0.018067824
away_tov_pct_r5,0.017958447
away_margin_r5,0.01793502
home_pts_for_r3,0.017796522
away_margin_r10,0.017690057
home_efg_for_r5,0.017684402
home_rest_days,0.01766215
away_tov_pct_r3,0.017175892
away_win_streak,0.017144198
home_pts_against_r10,0.017134722
away_pts_for_r5,0.017092574
home_pts_against_r5,0.01701782
away_pts_against_r3,0.016983919
home_ft_rate_r5,0.016840763
home_efg_for_r3,0.016417824
home_pts_for_r5,0.015815787
away_games_played,0.01575088
home_efg_against_r3,0.01558004
away_pts_for_r3,0.015219671
away_tov_pct_r10,0.015145588
away_ft_rate_r5,0.01477324
away_orb_pct_r5,0.0105972085
home_tov_pct_r10,0.009704585
home_orb_pct_r5,0.0
home_orb_pct_r10,0.0
home_efg_against_r10,0.0
home_ft_rate_r10,0.0
home_efg_for_r10,0.0
away_ft_rate_r10,0.0
away_orb_pct_r10,0.0
away_efg_against_r10,0.0
away_efg_for_r10,0.0
